Training Progress: 	Epoch 1 [0/8883 (0.00%)]		Loss: 1.65029
Training Progress: 	Epoch 3 [4480/8883 (50.36%)]		Loss: 1.14874
Training Progress: 	Epoch 3 [4800/8883 (53.96%)]		Loss: 1.28225
Training Progress: 	Epoch 3 [5120/8883 (57.55%)]		Loss: 1.25997
Training Progress: 	Epoch 3 [5440/8883 (61.15%)]		Loss: 1.31254
Training Progress: 	Epoch 3 [5760/8883 (64.75%)]		Loss: 1.13482
Training Progress: 	Epoch 3 [6080/8883 (68.35%)]		Loss: 1.22735
Training Progress: 	Epoch 3 [6400/8883 (71.94%)]		Loss: 1.10357
Training Progress: 	Epoch 3 [6720/8883 (75.54%)]		Loss: 1.28012
Training Progress: 	Epoch 3 [7040/8883 (79.14%)]		Loss: 1.19300
Training Progress: 	Epoch 3 [7360/8883 (82.73%)]		Loss: 1.31598
Training Progress: 	Epoch 3 [7680/8883 (86.33%)]		Loss: 1.09879
Training Progress: 	Epoch 3 [8000/8883 (89.93%)]		Loss: 1.32168
Training Progress: 	Epoch 3 [8320/8883 (93.53%)]		Loss: 1.09036
Training Progress: 	Epoch 3 [8640/8883 (97.12%)]		Loss: 1.22051
	Train loss: 0.03533, Accuracy: 4442/8883 (50.00%)
	Validation loss: 0.00063, Accuracy: 947/1692 (55.00%)
	Test loss: 0.00064, Accuracy: 874/1772 (49.00%)

Training Progress: 	Epoch 4 [0/8883 (0.00%)]		Loss: 1.24132
Training Progress: 	Epoch 4 [320/8883 (3.60%)]		Loss: 1.15709
Training Progress: 	Epoch 4 [640/8883 (7.19%)]		Loss: 1.13303
Training Progress: 	Epoch 4 [960/8883 (10.79%)]		Loss: 1.17214
Training Progress: 	Epoch 4 [1280/8883 (14.39%)]		Loss: 1.19746
Training Progress: 	Epoch 4 [1600/8883 (17.99%)]		Loss: 1.07572
Training Progress: 	Epoch 4 [1920/8883 (21.58%)]		Loss: 1.10195
Training Progress: 	Epoch 4 [2240/8883 (25.18%)]		Loss: 1.01024
Training Progress: 	Epoch 4 [2560/8883 (28.78%)]		Loss: 1.29132
Training Progress: 	Epoch 4 [2880/8883 (32.37%)]		Loss: 1.21148
Training Progress: 	Epoch 4 [3200/8883 (35.97%)]		Loss: 1.38416
Training Progress: 	Epoch 4 [3520/8883 (39.57%)]		Loss: 1.32873
Training Progress: 	Epoch 4 [3840/8883 (43.17%)]		Loss: 1.25840
Training Progress: 	Epoch 4 [4160/8883 (46.76%)]		Loss: 1.07635
Training Progress: 	Epoch 4 [4480/8883 (50.36%)]		Loss: 1.03552
Training Progress: 	Epoch 4 [4800/8883 (53.96%)]		Loss: 1.23394
Training Progress: 	Epoch 4 [5120/8883 (57.55%)]		Loss: 1.35385
Training Progress: 	Epoch 4 [5440/8883 (61.15%)]		Loss: 1.14962
Training Progress: 	Epoch 4 [5760/8883 (64.75%)]		Loss: 1.06472
Training Progress: 	Epoch 4 [6080/8883 (68.35%)]		Loss: 1.10785
Training Progress: 	Epoch 4 [6400/8883 (71.94%)]		Loss: 1.06250
Training Progress: 	Epoch 4 [6720/8883 (75.54%)]		Loss: 1.13591
Training Progress: 	Epoch 4 [7040/8883 (79.14%)]		Loss: 1.00499
Training Progress: 	Epoch 4 [7360/8883 (82.73%)]		Loss: 1.15068
Training Progress: 	Epoch 4 [7680/8883 (86.33%)]		Loss: 0.96870
Training Progress: 	Epoch 4 [8000/8883 (89.93%)]		Loss: 1.04665
Training Progress: 	Epoch 4 [8320/8883 (93.53%)]		Loss: 1.05191
Training Progress: 	Epoch 4 [8640/8883 (97.12%)]		Loss: 1.37728
	Train loss: 0.03348, Accuracy: 4754/8883 (53.00%)
	Validation loss: 0.00059, Accuracy: 1020/1692 (60.00%)
	Test loss: 0.00061, Accuracy: 931/1772 (52.00%)

Training Progress: 	Epoch 5 [0/8883 (0.00%)]		Loss: 1.05357
Training Progress: 	Epoch 5 [320/8883 (3.60%)]		Loss: 1.07102
Training Progress: 	Epoch 5 [640/8883 (7.19%)]		Loss: 1.02085
Training Progress: 	Epoch 5 [960/8883 (10.79%)]		Loss: 1.33584
Training Progress: 	Epoch 5 [1280/8883 (14.39%)]		Loss: 1.04826
Training Progress: 	Epoch 5 [1600/8883 (17.99%)]		Loss: 1.00970
Training Progress: 	Epoch 5 [1920/8883 (21.58%)]		Loss: 1.02223
Training Progress: 	Epoch 5 [2240/8883 (25.18%)]		Loss: 1.18928
Training Progress: 	Epoch 5 [2560/8883 (28.78%)]		Loss: 1.16394
Training Progress: 	Epoch 5 [2880/8883 (32.37%)]		Loss: 1.10341
Training Progress: 	Epoch 5 [3200/8883 (35.97%)]		Loss: 1.33387
Training Progress: 	Epoch 5 [3520/8883 (39.57%)]		Loss: 1.18658
Training Progress: 	Epoch 5 [3840/8883 (43.17%)]		Loss: 1.29155
Training Progress: 	Epoch 5 [4160/8883 (46.76%)]		Loss: 1.19504
Training Progress: 	Epoch 5 [4480/8883 (50.36%)]		Loss: 1.02439
Training Progress: 	Epoch 5 [4800/8883 (53.96%)]		Loss: 1.16354
Training Progress: 	Epoch 5 [5120/8883 (57.55%)]		Loss: 1.31042
Training Progress: 	Epoch 5 [5440/8883 (61.15%)]		Loss: 1.25251
Training Progress: 	Epoch 5 [5760/8883 (64.75%)]		Loss: 1.22860
Training Progress: 	Epoch 5 [6080/8883 (68.35%)]		Loss: 1.05840
Training Progress: 	Epoch 5 [6400/8883 (71.94%)]		Loss: 1.06054
Training Progress: 	Epoch 5 [6720/8883 (75.54%)]		Loss: 1.03263
Training Progress: 	Epoch 5 [7040/8883 (79.14%)]		Loss: 1.09937
Training Progress: 	Epoch 5 [7360/8883 (82.73%)]		Loss: 1.08119
Training Progress: 	Epoch 5 [7680/8883 (86.33%)]		Loss: 0.90160
Training Progress: 	Epoch 5 [8000/8883 (89.93%)]		Loss: 1.16731
Training Progress: 	Epoch 5 [8320/8883 (93.53%)]		Loss: 1.07722
Training Progress: 	Epoch 5 [8640/8883 (97.12%)]		Loss: 1.19078
	Train loss: 0.03285, Accuracy: 4744/8883 (53.00%)
	Validation loss: 0.00060, Accuracy: 993/1692 (58.00%)
	Test loss: 0.00062, Accuracy: 923/1772 (52.00%)

Training Progress: 	Epoch 6 [0/8883 (0.00%)]		Loss: 1.18072
Training Progress: 	Epoch 6 [320/8883 (3.60%)]		Loss: 1.06104
Training Progress: 	Epoch 6 [640/8883 (7.19%)]		Loss: 0.98414
Training Progress: 	Epoch 6 [960/8883 (10.79%)]		Loss: 1.18059
Training Progress: 	Epoch 6 [1280/8883 (14.39%)]		Loss: 1.20902
Training Progress: 	Epoch 6 [1600/8883 (17.99%)]		Loss: 1.12808
Training Progress: 	Epoch 6 [1920/8883 (21.58%)]		Loss: 1.12005
Training Progress: 	Epoch 6 [2240/8883 (25.18%)]		Loss: 1.14894
Training Progress: 	Epoch 6 [2560/8883 (28.78%)]		Loss: 0.95833
Training Progress: 	Epoch 6 [2880/8883 (32.37%)]		Loss: 1.05964
Training Progress: 	Epoch 6 [3200/8883 (35.97%)]		Loss: 1.32947
Training Progress: 	Epoch 6 [3520/8883 (39.57%)]		Loss: 1.30314
Training Progress: 	Epoch 6 [3840/8883 (43.17%)]		Loss: 1.01618
Training Progress: 	Epoch 6 [4160/8883 (46.76%)]		Loss: 1.26946
Training Progress: 	Epoch 6 [4480/8883 (50.36%)]		Loss: 0.93200
Training Progress: 	Epoch 6 [4800/8883 (53.96%)]		Loss: 1.31983
Training Progress: 	Epoch 6 [5120/8883 (57.55%)]		Loss: 1.25848
Training Progress: 	Epoch 6 [5440/8883 (61.15%)]		Loss: 1.26379
Training Progress: 	Epoch 6 [5760/8883 (64.75%)]		Loss: 1.07651
Training Progress: 	Epoch 6 [6080/8883 (68.35%)]		Loss: 1.04764
Training Progress: 	Epoch 6 [6400/8883 (71.94%)]		Loss: 0.98409
Training Progress: 	Epoch 6 [6720/8883 (75.54%)]		Loss: 1.15887
Training Progress: 	Epoch 6 [7040/8883 (79.14%)]		Loss: 1.19808
Training Progress: 	Epoch 6 [7360/8883 (82.73%)]		Loss: 1.11033
Training Progress: 	Epoch 6 [7680/8883 (86.33%)]		Loss: 0.83643
Training Progress: 	Epoch 6 [8000/8883 (89.93%)]		Loss: 1.06089
Training Progress: 	Epoch 6 [8320/8883 (93.53%)]		Loss: 0.93617
Training Progress: 	Epoch 6 [8640/8883 (97.12%)]		Loss: 1.12006
	Train loss: 0.03114, Accuracy: 5082/8883 (57.00%)
	Validation loss: 0.00055, Accuracy: 1082/1692 (63.00%)
	Test loss: 0.00059, Accuracy: 979/1772 (55.00%)

Training Progress: 	Epoch 7 [0/8883 (0.00%)]		Loss: 0.92691
Training Progress: 	Epoch 7 [320/8883 (3.60%)]		Loss: 0.97251
Training Progress: 	Epoch 7 [640/8883 (7.19%)]		Loss: 1.05227
Training Progress: 	Epoch 7 [960/8883 (10.79%)]		Loss: 1.19267
Training Progress: 	Epoch 7 [1280/8883 (14.39%)]		Loss: 1.07167
Training Progress: 	Epoch 7 [1600/8883 (17.99%)]		Loss: 1.05426
Training Progress: 	Epoch 7 [1920/8883 (21.58%)]		Loss: 0.87980
Training Progress: 	Epoch 7 [2240/8883 (25.18%)]		Loss: 1.02094
Training Progress: 	Epoch 7 [2560/8883 (28.78%)]		Loss: 1.11978
Training Progress: 	Epoch 7 [2880/8883 (32.37%)]		Loss: 1.14722
Training Progress: 	Epoch 7 [3200/8883 (35.97%)]		Loss: 1.27127
Training Progress: 	Epoch 7 [3520/8883 (39.57%)]		Loss: 1.28734
Training Progress: 	Epoch 7 [3840/8883 (43.17%)]		Loss: 1.35956
Training Progress: 	Epoch 7 [4160/8883 (46.76%)]		Loss: 1.16473
Training Progress: 	Epoch 7 [4480/8883 (50.36%)]		Loss: 0.98905
Training Progress: 	Epoch 7 [4800/8883 (53.96%)]		Loss: 0.96217
Training Progress: 	Epoch 7 [5120/8883 (57.55%)]		Loss: 1.19371
Training Progress: 	Epoch 7 [5440/8883 (61.15%)]		Loss: 1.07116
Training Progress: 	Epoch 7 [5760/8883 (64.75%)]		Loss: 0.96043
Training Progress: 	Epoch 7 [6080/8883 (68.35%)]		Loss: 1.01333
Training Progress: 	Epoch 7 [6400/8883 (71.94%)]		Loss: 1.06405
Training Progress: 	Epoch 7 [6720/8883 (75.54%)]		Loss: 1.06008
Training Progress: 	Epoch 7 [7040/8883 (79.14%)]		Loss: 1.22583
Training Progress: 	Epoch 7 [7360/8883 (82.73%)]		Loss: 1.09883
Training Progress: 	Epoch 7 [7680/8883 (86.33%)]		Loss: 0.95374
Training Progress: 	Epoch 7 [8000/8883 (89.93%)]		Loss: 1.07485
Training Progress: 	Epoch 7 [8320/8883 (93.53%)]		Loss: 1.11285
Training Progress: 	Epoch 7 [8640/8883 (97.12%)]		Loss: 1.02676
	Train loss: 0.03059, Accuracy: 5042/8883 (56.00%)
	Validation loss: 0.00054, Accuracy: 1093/1692 (64.00%)
	Test loss: 0.00059, Accuracy: 964/1772 (54.00%)

Training Progress: 	Epoch 8 [0/8883 (0.00%)]		Loss: 1.00187
Training Progress: 	Epoch 8 [320/8883 (3.60%)]		Loss: 0.98550
Training Progress: 	Epoch 8 [640/8883 (7.19%)]		Loss: 1.00607
Training Progress: 	Epoch 8 [960/8883 (10.79%)]		Loss: 1.17871
Training Progress: 	Epoch 8 [1280/8883 (14.39%)]		Loss: 0.98774
Training Progress: 	Epoch 8 [1600/8883 (17.99%)]		Loss: 0.88242
Training Progress: 	Epoch 8 [1920/8883 (21.58%)]		Loss: 1.00325
Training Progress: 	Epoch 8 [2240/8883 (25.18%)]		Loss: 0.82835
Training Progress: 	Epoch 8 [2560/8883 (28.78%)]		Loss: 1.05999
Training Progress: 	Epoch 8 [2880/8883 (32.37%)]		Loss: 1.03210
Training Progress: 	Epoch 8 [3200/8883 (35.97%)]		Loss: 1.05345
Training Progress: 	Epoch 8 [3520/8883 (39.57%)]		Loss: 1.32458
Training Progress: 	Epoch 8 [3840/8883 (43.17%)]		Loss: 1.02470
Training Progress: 	Epoch 8 [4160/8883 (46.76%)]		Loss: 1.12603
Training Progress: 	Epoch 8 [4480/8883 (50.36%)]		Loss: 0.84147
Training Progress: 	Epoch 8 [4800/8883 (53.96%)]		Loss: 1.08869
Training Progress: 	Epoch 8 [5120/8883 (57.55%)]		Loss: 1.17850
Training Progress: 	Epoch 8 [5440/8883 (61.15%)]		Loss: 1.26689
Training Progress: 	Epoch 8 [5760/8883 (64.75%)]		Loss: 1.09162
Training Progress: 	Epoch 8 [6080/8883 (68.35%)]		Loss: 0.96728
Training Progress: 	Epoch 8 [6400/8883 (71.94%)]		Loss: 1.07394
Training Progress: 	Epoch 8 [6720/8883 (75.54%)]		Loss: 1.15755
Training Progress: 	Epoch 8 [7040/8883 (79.14%)]		Loss: 0.99261
Training Progress: 	Epoch 8 [7360/8883 (82.73%)]		Loss: 1.02758
Training Progress: 	Epoch 8 [7680/8883 (86.33%)]		Loss: 0.99525
Training Progress: 	Epoch 8 [8000/8883 (89.93%)]		Loss: 1.12431
Training Progress: 	Epoch 8 [8320/8883 (93.53%)]		Loss: 1.13432
Training Progress: 	Epoch 8 [8640/8883 (97.12%)]		Loss: 1.25441
	Train loss: 0.03006, Accuracy: 5161/8883 (58.00%)
	Validation loss: 0.00053, Accuracy: 1094/1692 (64.00%)
	Test loss: 0.00059, Accuracy: 987/1772 (55.00%)

Training Progress: 	Epoch 9 [0/8883 (0.00%)]		Loss: 1.08398
Training Progress: 	Epoch 9 [320/8883 (3.60%)]		Loss: 0.85158
Training Progress: 	Epoch 9 [640/8883 (7.19%)]		Loss: 0.87309
Training Progress: 	Epoch 9 [960/8883 (10.79%)]		Loss: 1.08777
Training Progress: 	Epoch 9 [1280/8883 (14.39%)]		Loss: 1.09677
Training Progress: 	Epoch 9 [1600/8883 (17.99%)]		Loss: 0.84044
Training Progress: 	Epoch 9 [1920/8883 (21.58%)]		Loss: 1.01573
Training Progress: 	Epoch 9 [2240/8883 (25.18%)]		Loss: 1.05182
Training Progress: 	Epoch 9 [2560/8883 (28.78%)]		Loss: 1.06742
Training Progress: 	Epoch 9 [2880/8883 (32.37%)]		Loss: 0.98380
Training Progress: 	Epoch 9 [3200/8883 (35.97%)]		Loss: 0.97803
Training Progress: 	Epoch 9 [3520/8883 (39.57%)]		Loss: 1.28849
Training Progress: 	Epoch 9 [3840/8883 (43.17%)]		Loss: 1.15965
Training Progress: 	Epoch 9 [4160/8883 (46.76%)]		Loss: 1.09672
Training Progress: 	Epoch 9 [4480/8883 (50.36%)]		Loss: 1.05040
Training Progress: 	Epoch 9 [4800/8883 (53.96%)]		Loss: 1.24077
Training Progress: 	Epoch 9 [5120/8883 (57.55%)]		Loss: 1.11539
Training Progress: 	Epoch 9 [5440/8883 (61.15%)]		Loss: 1.04403
Training Progress: 	Epoch 9 [5760/8883 (64.75%)]		Loss: 0.99431
Training Progress: 	Epoch 9 [6080/8883 (68.35%)]		Loss: 0.78399
Training Progress: 	Epoch 9 [6400/8883 (71.94%)]		Loss: 1.02036
Training Progress: 	Epoch 9 [6720/8883 (75.54%)]		Loss: 1.18321
Training Progress: 	Epoch 9 [7040/8883 (79.14%)]		Loss: 1.05007
Training Progress: 	Epoch 9 [7360/8883 (82.73%)]		Loss: 0.95355
Training Progress: 	Epoch 9 [7680/8883 (86.33%)]		Loss: 0.87961
Training Progress: 	Epoch 9 [8000/8883 (89.93%)]		Loss: 1.11242
Training Progress: 	Epoch 9 [8320/8883 (93.53%)]		Loss: 0.93612
Training Progress: 	Epoch 9 [8640/8883 (97.12%)]		Loss: 1.11541
	Train loss: 0.02891, Accuracy: 5308/8883 (59.00%)
	Validation loss: 0.00050, Accuracy: 1140/1692 (67.00%)
	Test loss: 0.00057, Accuracy: 972/1772 (54.00%)

Training Progress: 	Epoch 10 [0/8883 (0.00%)]		Loss: 1.16415
Training Progress: 	Epoch 10 [320/8883 (3.60%)]		Loss: 1.01888
Training Progress: 	Epoch 10 [640/8883 (7.19%)]		Loss: 0.84423
Training Progress: 	Epoch 10 [960/8883 (10.79%)]		Loss: 1.22730
Training Progress: 	Epoch 10 [1280/8883 (14.39%)]		Loss: 1.14357
Training Progress: 	Epoch 10 [1600/8883 (17.99%)]		Loss: 0.98608
Training Progress: 	Epoch 10 [1920/8883 (21.58%)]		Loss: 0.91530
Training Progress: 	Epoch 10 [2240/8883 (25.18%)]		Loss: 0.95585
Training Progress: 	Epoch 10 [2560/8883 (28.78%)]		Loss: 1.04581
Training Progress: 	Epoch 10 [2880/8883 (32.37%)]		Loss: 1.16481
Training Progress: 	Epoch 10 [3200/8883 (35.97%)]		Loss: 1.10790
Training Progress: 	Epoch 10 [3520/8883 (39.57%)]		Loss: 1.23086
Training Progress: 	Epoch 10 [3840/8883 (43.17%)]		Loss: 0.92700
Training Progress: 	Epoch 10 [4160/8883 (46.76%)]		Loss: 1.01668
Training Progress: 	Epoch 10 [4480/8883 (50.36%)]		Loss: 1.00384
Training Progress: 	Epoch 10 [4800/8883 (53.96%)]		Loss: 1.25714
Training Progress: 	Epoch 10 [5120/8883 (57.55%)]		Loss: 1.03256
Training Progress: 	Epoch 10 [5440/8883 (61.15%)]		Loss: 1.18901
Training Progress: 	Epoch 10 [5760/8883 (64.75%)]		Loss: 0.89479
Training Progress: 	Epoch 10 [6080/8883 (68.35%)]		Loss: 0.96414
Training Progress: 	Epoch 10 [6400/8883 (71.94%)]		Loss: 0.92337
Training Progress: 	Epoch 10 [6720/8883 (75.54%)]		Loss: 1.10740
Training Progress: 	Epoch 10 [7040/8883 (79.14%)]		Loss: 1.01660
Training Progress: 	Epoch 10 [7360/8883 (82.73%)]		Loss: 0.92573
Training Progress: 	Epoch 10 [7680/8883 (86.33%)]		Loss: 0.88806
Training Progress: 	Epoch 10 [8000/8883 (89.93%)]		Loss: 1.05318
Training Progress: 	Epoch 10 [8320/8883 (93.53%)]		Loss: 0.96554
Training Progress: 	Epoch 10 [8640/8883 (97.12%)]		Loss: 1.01947
	Train loss: 0.02765, Accuracy: 5524/8883 (62.00%)
	Validation loss: 0.00047, Accuracy: 1209/1692 (71.00%)
	Test loss: 0.00055, Accuracy: 1055/1772 (59.00%)

Training Progress: 	Epoch 11 [0/8883 (0.00%)]		Loss: 1.16158
Training Progress: 	Epoch 11 [320/8883 (3.60%)]		Loss: 0.96112
Training Progress: 	Epoch 11 [640/8883 (7.19%)]		Loss: 0.92060
Training Progress: 	Epoch 11 [960/8883 (10.79%)]		Loss: 1.05057
Training Progress: 	Epoch 11 [1280/8883 (14.39%)]		Loss: 1.09649
Training Progress: 	Epoch 11 [1600/8883 (17.99%)]		Loss: 0.89756
Training Progress: 	Epoch 11 [1920/8883 (21.58%)]		Loss: 1.00493
Training Progress: 	Epoch 11 [2240/8883 (25.18%)]		Loss: 0.92991
Training Progress: 	Epoch 11 [2560/8883 (28.78%)]		Loss: 1.00247
Training Progress: 	Epoch 11 [2880/8883 (32.37%)]		Loss: 1.12900
Training Progress: 	Epoch 11 [3200/8883 (35.97%)]		Loss: 0.99628
Training Progress: 	Epoch 11 [3520/8883 (39.57%)]		Loss: 1.13015
Training Progress: 	Epoch 11 [3840/8883 (43.17%)]		Loss: 1.13576
Training Progress: 	Epoch 11 [4160/8883 (46.76%)]		Loss: 0.86511
Training Progress: 	Epoch 11 [4480/8883 (50.36%)]		Loss: 0.88278
Training Progress: 	Epoch 11 [4800/8883 (53.96%)]		Loss: 0.86930
Training Progress: 	Epoch 11 [5120/8883 (57.55%)]		Loss: 1.19086
Training Progress: 	Epoch 11 [5440/8883 (61.15%)]		Loss: 0.99328
Training Progress: 	Epoch 11 [5760/8883 (64.75%)]		Loss: 0.92272
Training Progress: 	Epoch 11 [6080/8883 (68.35%)]		Loss: 0.95693
Training Progress: 	Epoch 11 [6400/8883 (71.94%)]		Loss: 1.10535
Training Progress: 	Epoch 11 [6720/8883 (75.54%)]		Loss: 1.14313
Training Progress: 	Epoch 11 [7040/8883 (79.14%)]		Loss: 1.02132
Training Progress: 	Epoch 11 [7360/8883 (82.73%)]		Loss: 1.02733
Training Progress: 	Epoch 11 [7680/8883 (86.33%)]		Loss: 0.73188
Training Progress: 	Epoch 11 [8000/8883 (89.93%)]		Loss: 0.90213
Training Progress: 	Epoch 11 [8320/8883 (93.53%)]		Loss: 0.87669
Training Progress: 	Epoch 11 [8640/8883 (97.12%)]		Loss: 1.26562
	Train loss: 0.02610, Accuracy: 5670/8883 (63.00%)
	Validation loss: 0.00044, Accuracy: 1213/1692 (71.00%)
	Test loss: 0.00053, Accuracy: 1055/1772 (59.00%)

Training Progress: 	Epoch 12 [0/8883 (0.00%)]		Loss: 0.99327
Training Progress: 	Epoch 12 [320/8883 (3.60%)]		Loss: 0.90423
Training Progress: 	Epoch 12 [640/8883 (7.19%)]		Loss: 0.85664
Training Progress: 	Epoch 12 [960/8883 (10.79%)]		Loss: 1.24090
Training Progress: 	Epoch 12 [1280/8883 (14.39%)]		Loss: 1.07197
Training Progress: 	Epoch 12 [1600/8883 (17.99%)]		Loss: 0.73200
Training Progress: 	Epoch 12 [1920/8883 (21.58%)]		Loss: 0.78279
Training Progress: 	Epoch 12 [2240/8883 (25.18%)]		Loss: 1.00808
Training Progress: 	Epoch 12 [2560/8883 (28.78%)]		Loss: 0.92882
Training Progress: 	Epoch 12 [2880/8883 (32.37%)]		Loss: 0.93157
Training Progress: 	Epoch 12 [3200/8883 (35.97%)]		Loss: 1.14209
Training Progress: 	Epoch 12 [3520/8883 (39.57%)]		Loss: 1.42745
Training Progress: 	Epoch 12 [3840/8883 (43.17%)]		Loss: 1.16478
Training Progress: 	Epoch 12 [4160/8883 (46.76%)]		Loss: 0.97033
Training Progress: 	Epoch 12 [4480/8883 (50.36%)]		Loss: 0.84109
